ID	PATH
ERR2683256	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2683/ERR2683256/ERR2683256.lite.1
ERR4678632	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678632/ERR4678632.lite.1
ERR4682354	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682354/ERR4682354.lite.1
ERR4682792	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682792/ERR4682792.lite.1
ERR2607398	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2607/ERR2607398/ERR2607398.lite.2
ERR2607399	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2607/ERR2607399/ERR2607399.lite.2
ERR2607400	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2607/ERR2607400/ERR2607400.lite.2
ERR2607401	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2607/ERR2607401/ERR2607401.lite.2
ERR2683272	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2683/ERR2683272/ERR2683272.lite.2
ERR4678621	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4678/ERR4678621/ERR4678621.lite.1
ERR4682411	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4682/ERR4682411/ERR4682411.lite.1
ERR4682812	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682812/ERR4682812.lite.1
ERR1713337	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR001/1713/ERR1713337/ERR1713337.lite.2
ERR1725950	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR001/1725/ERR1725950/ERR1725950.lite.2
ERR1725951	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR001/1725/ERR1725951/ERR1725951.lite.2
ERR2683157	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2683/ERR2683157/ERR2683157.lite.1
ERR2683165	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2683/ERR2683165/ERR2683165.lite.1
ERR4682408	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682408/ERR4682408.lite.1
ERR4682409	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682409/ERR4682409.lite.1
ERR4682793	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682793/ERR4682793.lite.1
ERR1713370	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR001/1713/ERR1713370/ERR1713370.lite.2
ERR2683156	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2683/ERR2683156/ERR2683156.lite.2
ERR4682426	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682426/ERR4682426.lite.1
ERR1713342	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR001/1713/ERR1713342/ERR1713342.lite.2
ERR1725956	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR001/1725/ERR1725956/ERR1725956.lite.2
ERR1725958	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR001/1725/ERR1725958/ERR1725958.lite.2
ERR2592329	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR002/2592/ERR2592329/ERR2592329.lite.2
ERR2683258	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2683/ERR2683258/ERR2683258.lite.2
ERR4682378	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682378/ERR4682378.lite.1
ERR4678639	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4678/ERR4678639/ERR4678639.lite.1
ERR4678640	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678640/ERR4678640.lite.1
ERR4682429	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682429/ERR4682429.lite.1
ERR4682430	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682430/ERR4682430.lite.1
ERR4678616	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678616/ERR4678616.lite.1
ERR4682380	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682380/ERR4682380.lite.1
ERR4682825	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682825/ERR4682825.lite.1
SRR5676467	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/676/SRR5676467.sralite.1
